"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Asian","A",375,135983,275.8,247.9,303.7
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Asian","A",31,140141,22.1,15.0,31.4
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Asian","A",13,145295,8.9,4.8,15.3
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Asian","A",15,153484,9.8,5.5,16.1
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Asian","A",15,159905,9.4,5.3,15.5
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Asian","A",11,168052,6.5,3.3,11.7
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Asian","A",16,171790,9.3,5.3,15.1
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Asian","A",11,173942,6.3,3.2,11.3
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Asian","A",12,170536,7.0,3.6,12.3
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,167690,Suppressed,Suppressed,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,162576,Suppressed,Suppressed,Suppressed
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Asian","A",10,159296,6.3,3.0,11.5
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Asian","A",13,158046,8.2,4.4,14.1
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Asian","A",13,158897,8.2,4.4,14.0
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Asian","A",17,160212,10.6,6.2,17.0
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Asian","A",25,161532,15.5,10.0,22.8
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Asian","A",34,162622,20.9,14.5,29.2
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Asian","A",49,162699,30.1,22.3,39.8
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","Asian","A",43,169845,25.3,18.3,34.1
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","Asian","A",66,164325,40.2,31.1,51.1
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","Asian","A",85,162227,52.4,41.9,64.8
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","Asian","A",71,164640,43.1,33.7,54.4
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","Asian","A",93,168233,55.3,44.6,67.7
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","Asian","A",115,176184,65.3,53.3,77.2
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","Asian","A",96,184897,51.9,42.1,63.4
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","Asian","A",114,194343,58.7,47.9,69.4
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","Asian","A",106,205351,51.6,41.8,61.4
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","Asian","A",165,215331,76.6,64.9,88.3
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","Asian","A",170,224794,75.6,64.3,87.0
