"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",263
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",237
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",289
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",352
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",384
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",383
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",474
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",457
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",567
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",626
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",621
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",636
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",695
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",717
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",736
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",778
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",823
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",861
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",847
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",971
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",958
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1030
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1041
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",996
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1133
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1055
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1033
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1071
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1096
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1016
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1039
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1111
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1179
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1126
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1079
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1142
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1153
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1141
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",1075
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",914
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",917
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",654
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",645
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",570
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",380
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",309
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",199
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",365
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",0
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"Title: SD; 2018+; SYA; M; NON; WH; 2024; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"Single Race 6: White"
"States: San Diego County, CA (06073)"
"Year/Month: 2020; 2021; 2022; 2023; 2024"
"Group By: Single-Year Ages; Sex; Hispanic Origin; Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 13, 2026 12:18:11 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 13, 2026 12:18:11 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Population and Rates are not available when values are selected for Single-Year Ages or Ten-Year Age Groups in section 3 or"
"they appear in Group Results By list in section 1, and county level locations, including urbanization categories and US-Mexico"
