"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",173,318222,54.4,46.3,62.5
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",168,311204,54.0,45.8,62.1
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",193,304457,63.4,54.4,72.3
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",184,295355,62.3,53.3,71.3
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",221,283600,77.9,67.7,88.2
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",192,271366,70.8,60.7,80.8
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",211,257705,81.9,70.8,92.9
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",230,243900,94.3,82.1,106.5
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",212,232870,91.0,78.8,103.3
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",193,223064,86.5,74.3,98.7
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",235,216358,108.6,94.7,122.5
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",242,210462,115.0,100.5,129.5
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",205,205612,99.7,86.1,113.4
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",214,201510,106.2,92.0,120.4
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",237,195307,121.3,105.9,136.8
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",263,188246,139.7,122.8,156.6
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",254,181050,140.3,123.0,157.5
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",245,172966,141.6,123.9,159.4
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",263,164916,159.5,140.2,178.7
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",247,158140,156.2,136.7,175.7
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",275,152624,180.2,158.9,201.5
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",281,148364,189.4,167.3,211.5
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",300,147255,203.7,180.7,226.8
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",296,146277,202.4,179.3,225.4
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",352,143362,245.5,219.9,271.2
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",330,139517,236.5,211.0,262.1
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",322,134831,238.8,212.7,264.9
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",340,129064,263.4,235.4,291.4
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",352,125615,280.2,250.9,309.5
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",393,124137,316.6,285.3,347.9
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",430,123763,347.4,314.6,380.3
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",483,123906,389.8,355.0,424.6
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",470,123902,379.3,345.0,413.6
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",532,122975,432.6,395.8,469.4
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",584,120292,485.5,446.1,524.9
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",569,117277,485.2,445.3,525.0
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",628,113746,552.1,508.9,595.3
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",636,109824,579.1,534.1,624.1
,"65 years","65","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",630,105385,597.8,551.1,644.5
,"66 years","66","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",686,100684,681.3,630.4,732.3
,"67 years","67","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",659,95923,687.0,634.6,739.5
,"68 years","68","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",640,90340,708.4,653.5,763.3
,"69 years","69","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",680,85076,799.3,739.2,859.4
,"70 years","70","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",703,80226,876.3,811.5,941.1
,"71 years","71","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",686,75780,905.3,837.5,973.0
,"72 years","72","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",711,71507,994.3,921.2,1067.4
,"73 years","73","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",744,68773,1081.8,1004.1,1159.6
,"74 years","74","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",731,63537,1150.5,1067.1,1233.9
,"75 years","75","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",732,58691,1247.2,1156.9,1337.6
,"76 years","76","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",729,53909,1352.3,1254.1,1450.4
,"77 years","77","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",718,49396,1453.6,1347.2,1559.9
,"78 years","78","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",677,43664,1550.5,1433.7,1667.3
,"79 years","79","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",718,40563,1770.1,1640.6,1899.6
,"80 years","80","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",781,37351,2091.0,1944.3,2237.6
