"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",493,54710,901.1,821.6,980.7
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",43,54331,79.1,57.3,106.6
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",25,54979,45.5,29.4,67.1
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",23,55468,41.5,26.3,62.2
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",12,56195,21.4,11.0,37.3
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10,56912,17.6,8.4,32.3
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",19,58037,32.7,19.7,51.1
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed,58895,Suppressed,Suppressed,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",11,60166,18.3,9.1,32.7
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",18,61470,29.3,17.4,46.3
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",11,61653,17.8,8.9,31.9
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",13,62464,20.8,11.1,35.6
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",13,63601,20.4,10.9,35.0
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",22,64594,34.1,21.3,51.6
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",30,65357,45.9,31.0,65.5
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",59,66350,88.9,67.7,114.7
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",69,67002,103.0,80.1,130.3
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",84,67093,125.2,99.9,155.0
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",133,67509,197.0,163.5,230.5
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",146,64703,225.6,189.0,262.2
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",167,70208,237.9,201.8,273.9
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",162,72785,222.6,188.3,256.8
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",209,74943,278.9,241.1,316.7
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",230,77795,295.6,257.4,333.9
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",260,79758,326.0,286.4,365.6
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",259,83419,310.5,272.7,348.3
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",294,86968,338.1,299.4,376.7
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",260,90673,286.7,251.9,321.6
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",299,95312,313.7,278.1,349.3
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",348,99841,348.6,311.9,385.2
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",327,103113,317.1,282.8,351.5
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",383,102871,372.3,335.0,409.6
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",382,102073,374.2,336.7,411.8
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",386,99854,386.6,348.0,425.1
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",383,95094,402.8,362.4,443.1
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",361,91355,395.2,354.4,435.9
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",401,86378,464.2,418.8,509.7
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",418,84128,496.9,449.2,544.5
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",425,81621,520.7,471.2,570.2
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",421,79867,527.1,476.8,577.5
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",422,80089,526.9,476.6,577.2
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",398,77034,516.7,465.9,567.4
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",419,74664,561.2,507.4,614.9
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",446,72761,613.0,556.1,669.9
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",432,71020,608.3,550.9,665.6
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",424,70334,602.8,545.5,660.2
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",488,67294,725.2,660.8,789.5
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",449,66552,674.7,612.3,737.1
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",523,66684,784.3,717.1,851.5
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",558,68072,819.7,751.7,887.7
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",589,71920,819.0,752.8,885.1
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",601,70930,847.3,779.6,915.1
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",702,71975,975.3,903.2,1047.5
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",786,72768,1080.1,1004.6,1155.7
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",901,72232,1247.4,1165.9,1328.8
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",944,73403,1286.1,1204.0,1368.1
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",972,73463,1323.1,1239.9,1406.3
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1111,73319,1515.3,1426.2,1604.4
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1181,73831,1599.6,1508.4,1690.8
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1230,74549,1649.9,1557.7,1742.1
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1378,75234,1831.6,1734.9,1928.3
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1436,72358,1984.6,1881.9,2087.2
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1484,70894,2093.3,1986.8,2199.8
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1601,67984,2355.0,2239.6,2470.3
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1640,64902,2526.9,2404.6,2649.2
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1689,61668,2738.9,2608.2,2869.5
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1730,57376,3015.2,2873.1,3157.3
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1709,53340,3204.0,3052.1,3355.9
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1753,49204,3562.7,3395.9,3729.5
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1655,45916,3604.4,3430.8,3778.1
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1662,42844,3879.2,3692.7,4065.7
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1626,39522,4114.2,3914.2,4314.1
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1615,36933,4372.8,4159.5,4586.1
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1487,34992,4249.5,4033.5,4465.5
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1511,31444,4805.4,4563.1,5047.7
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1401,28462,4922.4,4664.6,5180.1
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1334,25320,5268.6,4985.8,5551.3
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1285,22870,5618.7,5311.5,5925.9
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1224,20316,6024.8,5687.3,6362.3
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1295,18716,6919.2,6542.4,7296.1
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1278,17184,7437.2,7029.4,7844.9
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1168,15494,7538.4,7106.1,7970.7
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1128,14029,8040.5,7571.3,8509.7
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1130,12930,8739.4,8229.8,9248.9
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1128,11548,9767.9,9197.9,10338.0
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1098,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1063,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",942,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",913,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",826,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",701,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",614,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",527,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",441,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",335,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",290,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",241,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",183,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",154,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",97,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",208,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
