"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",407,53001,767.9,693.3,842.5
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",27,52521,51.4,33.9,74.8
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",20,53213,37.6,23.0,58.0
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",13,54091,24.0,12.8,41.1
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",13,54414,23.9,12.7,40.9
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",16,54984,29.1,16.6,47.3
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",13,55894,23.3,12.4,39.8
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed,56973,Suppressed,Suppressed,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",17,57881,29.4,17.1,47.0
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",11,59335,18.5,9.3,33.2
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed,59688,Suppressed,Suppressed,Suppressed
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed,60411,Suppressed,Suppressed,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10,61565,16.2,7.8,29.9
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",14,62370,22.4,12.3,37.7
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",20,63055,31.7,19.4,49.0
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",21,63535,33.1,20.5,50.5
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",22,63696,34.5,21.6,52.3
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",23,63342,36.3,23.0,54.5
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",49,64198,76.3,56.5,100.9
