"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1680,508554,330.3,314.6,346.1
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Asian","A",147,528587,27.8,23.3,32.3
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Asian","A",66,547187,12.1,9.3,15.3
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Asian","A",72,567990,12.7,9.9,16.0
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Asian","A",60,586397,10.2,7.8,13.2
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Asian","A",60,600427,10.0,7.6,12.9
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Asian","A",58,609082,9.5,7.2,12.3
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Asian","A",51,614562,8.3,6.2,10.9
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Asian","A",47,608269,7.7,5.7,10.3
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Asian","A",34,602259,5.6,3.9,7.9
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Asian","A",59,590429,10.0,7.6,12.9
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Asian","A",63,581244,10.8,8.3,13.9
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Asian","A",53,575576,9.2,6.9,12.0
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Asian","A",67,573977,11.7,9.0,14.8
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Asian","A",83,573334,14.5,11.5,17.9
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Asian","A",115,575287,20.0,16.3,23.6
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Asian","A",136,579542,23.5,19.5,27.4
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Asian","A",180,583773,30.8,26.3,35.3
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","Asian","A",200,593955,33.7,29.0,38.3
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","Asian","A",308,610688,50.4,44.8,56.1
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","Asian","A",346,623145,55.5,49.7,61.4
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","Asian","A",359,634926,56.5,50.7,62.4
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","Asian","A",393,650446,60.4,54.4,66.4
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","Asian","A",438,672854,65.1,59.0,71.2
