"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",11566,1213576,953.1,935.7,970.4
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",12654,1211981,1044.1,1025.9,1062.3
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",13464,1198010,1123.9,1104.9,1142.8
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",14431,1182782,1220.1,1200.2,1240.0
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",15554,1184421,1313.2,1292.6,1333.9
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",16569,1191356,1390.8,1369.6,1411.9
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",18273,1196113,1527.7,1505.5,1549.8
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",19740,1197520,1648.4,1625.4,1671.4
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",21214,1192599,1778.8,1754.9,1802.7
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",22785,1184223,1924.0,1899.1,1949.0
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",23928,1156247,2069.5,2043.2,2095.7
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",25344,1127441,2247.9,2220.2,2275.6
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",26939,1094732,2460.8,2431.4,2490.2
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",27763,1053799,2634.6,2603.6,2665.6
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",28185,1005605,2802.8,2770.1,2835.5
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",28434,948098,2999.1,2964.2,3033.9
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",28216,888255,3176.6,3139.5,3213.6
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",28197,824909,3418.2,3378.3,3458.1
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",27834,771190,3609.2,3566.8,3651.6
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",27587,720934,3826.6,3781.4,3871.7
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",27253,670852,4062.4,4014.2,4110.7
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",26956,626667,4301.5,4250.1,4352.8
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",26196,584359,4482.9,4428.6,4537.1
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",24676,526421,4687.5,4629.0,4746.0
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",23724,471172,5035.1,4971.0,5099.2
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",22241,418890,5309.5,5239.7,5379.3
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",21715,373052,5820.9,5743.5,5898.3
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",20533,324508,6327.4,6240.9,6414.0
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",19781,294337,6720.5,6626.9,6814.2
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",19590,265486,7378.9,7275.6,7482.3
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",18710,235908,7931.1,7817.4,8044.7
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",17609,207562,8483.7,8358.4,8609.0
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",16792,183024,9174.8,9036.0,9313.5
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",15892,161636,9832.0,9679.1,9984.8
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",15345,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",14055,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",13241,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",11972,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10930,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",9639,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",8446,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",7181,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",6112,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",4898,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",4113,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",3188,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",2513,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1844,Not Applicable,Not Applicable,Not Applicable,Not Applicable
