"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"38 years","38","Male","M","Hispanic or Latino","2135-2",6112,2438743,250.6,244.3,256.9
,"39 years","39","Male","M","Hispanic or Latino","2135-2",6359,2422318,262.5,256.1,269.0
,"40 years","40","Male","M","Hispanic or Latino","2135-2",6527,2421285,269.6,263.0,276.1
,"41 years","41","Male","M","Hispanic or Latino","2135-2",6804,2375756,286.4,279.6,293.2
,"42 years","42","Male","M","Hispanic or Latino","2135-2",6871,2330981,294.8,287.8,301.7
,"43 years","43","Male","M","Hispanic or Latino","2135-2",7090,2278285,311.2,304.0,318.4
,"44 years","44","Male","M","Hispanic or Latino","2135-2",7275,2225929,326.8,319.3,334.3
,"45 years","45","Male","M","Hispanic or Latino","2135-2",7562,2170428,348.4,340.6,356.3
,"46 years","46","Male","M","Hispanic or Latino","2135-2",7613,2116674,359.7,351.6,367.7
,"47 years","47","Male","M","Hispanic or Latino","2135-2",7978,2065785,386.2,377.7,394.7
,"48 years","48","Male","M","Hispanic or Latino","2135-2",8200,2019183,406.1,397.3,414.9
,"49 years","49","Male","M","Hispanic or Latino","2135-2",8677,1982271,437.7,428.5,446.9
,"50 years","50","Male","M","Hispanic or Latino","2135-2",9138,1955653,467.3,457.7,476.8
,"51 years","51","Male","M","Hispanic or Latino","2135-2",9558,1904713,501.8,491.7,511.9
,"52 years","52","Male","M","Hispanic or Latino","2135-2",9987,1857668,537.6,527.1,548.2
,"53 years","53","Male","M","Hispanic or Latino","2135-2",10186,1797241,566.8,555.8,577.8
,"54 years","54","Male","M","Hispanic or Latino","2135-2",10958,1736044,631.2,619.4,643.0
,"55 years","55","Male","M","Hispanic or Latino","2135-2",11541,1686202,684.4,672.0,696.9
,"56 years","56","Male","M","Hispanic or Latino","2135-2",11980,1633793,733.3,720.1,746.4
,"57 years","57","Male","M","Hispanic or Latino","2135-2",12540,1577316,795.0,781.1,808.9
,"58 years","58","Male","M","Hispanic or Latino","2135-2",13269,1523070,871.2,856.4,886.0
,"59 years","59","Male","M","Hispanic or Latino","2135-2",13535,1462288,925.6,910.0,941.2
