"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",906,269598,336.1,314.2,357.9
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",82,266714,30.7,24.5,38.2
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",64,268607,23.8,18.3,30.4
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",46,272838,16.9,12.3,22.5
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",32,279831,11.4,7.8,16.1
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",29,284890,10.2,6.8,14.6
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",30,289992,10.3,7.0,14.8
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",26,293687,8.9,5.8,13.0
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",18,295946,6.1,3.6,9.6
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",20,297516,6.7,4.1,10.4
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",27,296806,9.1,6.0,13.2
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",34,297123,11.4,7.9,16.0
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",29,302307,9.6,6.4,13.8
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",48,308846,15.5,11.5,20.6
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",75,315754,23.8,18.7,29.8
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",96,321765,29.8,24.2,36.4
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",141,327827,43.0,35.9,50.1
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",176,331514,53.1,45.2,60.9
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",243,349579,69.5,60.8,78.3
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","White","2106-3",305,346472,88.0,78.2,97.9
