"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Hispanic or Latino","2135-2",2483,547245,453.7,435.9,471.6
,"1 year","1","Male","M","Hispanic or Latino","2135-2",171,552226,31.0,26.3,35.6
,"2 years","2","Male","M","Hispanic or Latino","2135-2",124,556790,22.3,18.4,26.2
,"3 years","3","Male","M","Hispanic or Latino","2135-2",78,562651,13.9,11.0,17.3
,"4 years","4","Male","M","Hispanic or Latino","2135-2",71,579102,12.3,9.6,15.5
,"5 years","5","Male","M","Hispanic or Latino","2135-2",67,594063,11.3,8.7,14.3
,"6 years","6","Male","M","Hispanic or Latino","2135-2",44,606389,7.3,5.3,9.7
,"7 years","7","Male","M","Hispanic or Latino","2135-2",53,617828,8.6,6.4,11.2
,"8 years","8","Male","M","Hispanic or Latino","2135-2",59,627612,9.4,7.2,12.1
,"9 years","9","Male","M","Hispanic or Latino","2135-2",60,638883,9.4,7.2,12.1
,"10 years","10","Male","M","Hispanic or Latino","2135-2",71,645887,11.0,8.6,13.9
,"11 years","11","Male","M","Hispanic or Latino","2135-2",71,656450,10.8,8.4,13.6
,"12 years","12","Male","M","Hispanic or Latino","2135-2",92,674553,13.6,11.0,16.7
,"13 years","13","Male","M","Hispanic or Latino","2135-2",104,691191,15.0,12.2,17.9
,"14 years","14","Male","M","Hispanic or Latino","2135-2",162,699775,23.2,19.6,26.7
,"15 years","15","Male","M","Hispanic or Latino","2135-2",231,702712,32.9,28.6,37.1
,"16 years","16","Male","M","Hispanic or Latino","2135-2",269,698702,38.5,33.9,43.1
,"17 years","17","Male","M","Hispanic or Latino","2135-2",425,688471,61.7,55.9,67.6
,"18 years","18","Male","M","Hispanic or Latino","2135-2",628,674421,93.1,85.8,100.4
,"19 years","19","Male","M","Hispanic or Latino","2135-2",749,656118,114.2,106.0,122.3
,"20 years","20","Male","M","Hispanic or Latino","2135-2",771,658565,117.1,108.8,125.3
,"21 years","21","Male","M","Hispanic or Latino","2135-2",848,658227,128.8,120.2,137.5
,"22 years","22","Male","M","Hispanic or Latino","2135-2",922,652252,141.4,132.2,150.5
,"23 years","23","Male","M","Hispanic or Latino","2135-2",936,647631,144.5,135.3,153.8
,"24 years","24","Male","M","Hispanic or Latino","2135-2",1029,645016,159.5,149.8,169.3
,"25 years","25","Male","M","Hispanic or Latino","2135-2",1096,642422,170.6,160.5,180.7
,"26 years","26","Male","M","Hispanic or Latino","2135-2",1119,646932,173.0,162.8,183.1
,"27 years","27","Male","M","Hispanic or Latino","2135-2",1249,652795,191.3,180.7,201.9
,"28 years","28","Male","M","Hispanic or Latino","2135-2",1248,660597,188.9,178.4,199.4
,"29 years","29","Male","M","Hispanic or Latino","2135-2",1376,667565,206.1,195.2,217.0
,"30 years","30","Male","M","Hispanic or Latino","2135-2",1427,668996,213.3,202.2,224.4
,"31 years","31","Male","M","Hispanic or Latino","2135-2",1458,659040,221.2,209.9,232.6
,"32 years","32","Male","M","Hispanic or Latino","2135-2",1402,648932,216.0,204.7,227.4
,"33 years","33","Male","M","Hispanic or Latino","2135-2",1456,633360,229.9,218.1,241.7
,"34 years","34","Male","M","Hispanic or Latino","2135-2",1448,620686,233.3,221.3,245.3
,"35 years","35","Male","M","Hispanic or Latino","2135-2",1450,608786,238.2,225.9,250.4
,"36 years","36","Male","M","Hispanic or Latino","2135-2",1473,598958,245.9,233.4,258.5
,"37 years","37","Male","M","Hispanic or Latino","2135-2",1560,592251,263.4,250.3,276.5
,"38 years","38","Male","M","Hispanic or Latino","2135-2",1583,586825,269.8,256.5,283.0
,"39 years","39","Male","M","Hispanic or Latino","2135-2",1719,579795,296.5,282.5,310.5
,"40 years","40","Male","M","Hispanic or Latino","2135-2",1742,578377,301.2,287.0,315.3
,"41 years","41","Male","M","Hispanic or Latino","2135-2",1691,565429,299.1,284.8,313.3
,"42 years","42","Male","M","Hispanic or Latino","2135-2",1691,552824,305.9,291.3,320.5
,"43 years","43","Male","M","Hispanic or Latino","2135-2",1772,540190,328.0,312.8,343.3
,"44 years","44","Male","M","Hispanic or Latino","2135-2",1864,529743,351.9,335.9,367.8
,"45 years","45","Male","M","Hispanic or Latino","2135-2",1957,518352,377.5,360.8,394.3
,"46 years","46","Male","M","Hispanic or Latino","2135-2",2003,508686,393.8,376.5,411.0
