"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Female","F","Hispanic or Latino","2135-2",10679,2430758,439.3,431.0,447.7
,"1 year","1","Female","F","Hispanic or Latino","2135-2",732,2457740,29.8,27.6,31.9
,"2 years","2","Female","F","Hispanic or Latino","2135-2",486,2457956,19.8,18.0,21.5
,"3 years","3","Female","F","Hispanic or Latino","2135-2",355,2454977,14.5,13.0,16.0
,"4 years","4","Female","F","Hispanic or Latino","2135-2",319,2492726,12.8,11.4,14.2
,"5 years","5","Female","F","Hispanic or Latino","2135-2",263,2530688,10.4,9.1,11.6
,"6 years","6","Female","F","Hispanic or Latino","2135-2",238,2551755,9.3,8.1,10.5
,"7 years","7","Female","F","Hispanic or Latino","2135-2",228,2566395,8.9,7.7,10.0
,"8 years","8","Female","F","Hispanic or Latino","2135-2",244,2576149,9.5,8.3,10.7
,"9 years","9","Female","F","Hispanic or Latino","2135-2",216,2585474,8.4,7.2,9.5
,"10 years","10","Female","F","Hispanic or Latino","2135-2",263,2595847,10.1,8.9,11.4
,"11 years","11","Female","F","Hispanic or Latino","2135-2",286,2620222,10.9,9.7,12.2
,"12 years","12","Female","F","Hispanic or Latino","2135-2",341,2671918,12.8,11.4,14.1
,"13 years","13","Female","F","Hispanic or Latino","2135-2",360,2725782,13.2,11.8,14.6
,"14 years","14","Female","F","Hispanic or Latino","2135-2",478,2754671,17.4,15.8,18.9
,"15 years","15","Female","F","Hispanic or Latino","2135-2",531,2754797,19.3,17.6,20.9
,"16 years","16","Female","F","Hispanic or Latino","2135-2",626,2736270,22.9,21.1,24.7
,"17 years","17","Female","F","Hispanic or Latino","2135-2",720,2693046,26.7,24.8,28.7
,"18 years","18","Female","F","Hispanic or Latino","2135-2",960,2643143,36.3,34.0,38.6
,"19 years","19","Female","F","Hispanic or Latino","2135-2",1031,2609044,39.5,37.1,41.9
,"20 years","20","Female","F","Hispanic or Latino","2135-2",1053,2607778,40.4,37.9,42.8
,"21 years","21","Female","F","Hispanic or Latino","2135-2",1104,2594462,42.6,40.0,45.1
,"22 years","22","Female","F","Hispanic or Latino","2135-2",1196,2546273,47.0,44.3,49.6
,"23 years","23","Female","F","Hispanic or Latino","2135-2",1215,2499982,48.6,45.9,51.3
,"24 years","24","Female","F","Hispanic or Latino","2135-2",1273,2457935,51.8,48.9,54.6
,"25 years","25","Female","F","Hispanic or Latino","2135-2",1284,2429752,52.8,50.0,55.7
,"26 years","26","Female","F","Hispanic or Latino","2135-2",1304,2421123,53.9,50.9,56.8
,"27 years","27","Female","F","Hispanic or Latino","2135-2",1373,2420494,56.7,53.7,59.7
,"28 years","28","Female","F","Hispanic or Latino","2135-2",1437,2431724,59.1,56.0,62.1
,"29 years","29","Female","F","Hispanic or Latino","2135-2",1577,2435616,64.7,61.6,67.9
,"30 years","30","Female","F","Hispanic or Latino","2135-2",1677,2423948,69.2,65.9,72.5
,"31 years","31","Female","F","Hispanic or Latino","2135-2",1706,2386245,71.5,68.1,74.9
,"32 years","32","Female","F","Hispanic or Latino","2135-2",1806,2346634,77.0,73.4,80.5
,"33 years","33","Female","F","Hispanic or Latino","2135-2",1909,2298890,83.0,79.3,86.8
,"34 years","34","Female","F","Hispanic or Latino","2135-2",1971,2263142,87.1,83.2,90.9
,"35 years","35","Female","F","Hispanic or Latino","2135-2",1956,2236589,87.5,83.6,91.3
,"36 years","36","Female","F","Hispanic or Latino","2135-2",2050,2217259,92.5,88.5,96.5
,"37 years","37","Female","F","Hispanic or Latino","2135-2",2176,2213292,98.3,94.2,102.4
,"38 years","38","Female","F","Hispanic or Latino","2135-2",2303,2216607,103.9,99.7,108.1
,"39 years","39","Female","F","Hispanic or Latino","2135-2",2470,2215430,111.5,107.1,115.9
,"40 years","40","Female","F","Hispanic or Latino","2135-2",2545,2220161,114.6,110.2,119.1
,"41 years","41","Female","F","Hispanic or Latino","2135-2",2660,2192203,121.3,116.7,126.0
,"42 years","42","Female","F","Hispanic or Latino","2135-2",2839,2162750,131.3,126.4,136.1
,"43 years","43","Female","F","Hispanic or Latino","2135-2",3031,2129126,142.4,137.3,147.4
,"44 years","44","Female","F","Hispanic or Latino","2135-2",3146,2094626,150.2,144.9,155.4
,"45 years","45","Female","F","Hispanic or Latino","2135-2",3287,2059768,159.6,154.1,165.0
,"46 years","46","Female","F","Hispanic or Latino","2135-2",3480,2025002,171.9,166.1,177.6
,"47 years","47","Female","F","Hispanic or Latino","2135-2",3615,1993693,181.3,175.4,187.2
,"48 years","48","Female","F","Hispanic or Latino","2135-2",3903,1958963,199.2,193.0,205.5
,"49 years","49","Female","F","Hispanic or Latino","2135-2",4086,1931936,211.5,205.0,218.0
,"50 years","50","Female","F","Hispanic or Latino","2135-2",4319,1902812,227.0,220.2,233.7
,"51 years","51","Female","F","Hispanic or Latino","2135-2",4608,1851358,248.9,241.7,256.1
,"52 years","52","Female","F","Hispanic or Latino","2135-2",4769,1802104,264.6,257.1,272.1
,"53 years","53","Female","F","Hispanic or Latino","2135-2",5159,1744624,295.7,287.6,303.8
,"54 years","54","Female","F","Hispanic or Latino","2135-2",5296,1686113,314.1,305.6,322.6
,"55 years","55","Female","F","Hispanic or Latino","2135-2",5663,1644592,344.3,335.4,353.3
,"56 years","56","Female","F","Hispanic or Latino","2135-2",5999,1606875,373.3,363.9,382.8
,"57 years","57","Female","F","Hispanic or Latino","2135-2",6522,1565544,416.6,406.5,426.7
,"58 years","58","Female","F","Hispanic or Latino","2135-2",6887,1523962,451.9,441.2,462.6
,"59 years","59","Female","F","Hispanic or Latino","2135-2",7432,1479242,502.4,491.0,513.8
,"60 years","60","Female","F","Hispanic or Latino","2135-2",7824,1431499,546.6,534.4,558.7
,"61 years","61","Female","F","Hispanic or Latino","2135-2",8095,1365456,592.8,579.9,605.8
,"62 years","62","Female","F","Hispanic or Latino","2135-2",8467,1304298,649.2,635.3,663.0
,"63 years","63","Female","F","Hispanic or Latino","2135-2",8889,1245758,713.5,698.7,728.4
,"64 years","64","Female","F","Hispanic or Latino","2135-2",9246,1190035,777.0,761.1,792.8
,"65 years","65","Female","F","Hispanic or Latino","2135-2",9389,1133682,828.2,811.4,844.9
,"66 years","66","Female","F","Hispanic or Latino","2135-2",9696,1075824,901.3,883.3,919.2
,"67 years","67","Female","F","Hispanic or Latino","2135-2",10078,1019400,988.6,969.3,1007.9
,"68 years","68","Female","F","Hispanic or Latino","2135-2",10256,957853,1070.7,1050.0,1091.5
,"69 years","69","Female","F","Hispanic or Latino","2135-2",10417,902106,1154.7,1132.6,1176.9
,"70 years","70","Female","F","Hispanic or Latino","2135-2",10850,849121,1277.8,1253.7,1301.8
,"71 years","71","Female","F","Hispanic or Latino","2135-2",11137,796328,1398.5,1372.6,1424.5
,"72 years","72","Female","F","Hispanic or Latino","2135-2",11606,751341,1544.7,1516.6,1572.8
,"73 years","73","Female","F","Hispanic or Latino","2135-2",11870,711119,1669.2,1639.2,1699.2
,"74 years","74","Female","F","Hispanic or Latino","2135-2",12491,663571,1882.4,1849.4,1915.4
,"75 years","75","Female","F","Hispanic or Latino","2135-2",12687,613872,2066.7,2030.8,2102.7
,"76 years","76","Female","F","Hispanic or Latino","2135-2",12847,566046,2269.6,2230.4,2308.9
,"77 years","77","Female","F","Hispanic or Latino","2135-2",12887,521421,2471.5,2428.8,2514.2
,"78 years","78","Female","F","Hispanic or Latino","2135-2",13292,471746,2817.6,2769.7,2865.5
,"79 years","79","Female","F","Hispanic or Latino","2135-2",13545,435042,3113.5,3061.1,3165.9
,"80 years","80","Female","F","Hispanic or Latino","2135-2",13986,402972,3470.7,3413.2,3528.2
,"81 years","81","Female","F","Hispanic or Latino","2135-2",14295,370583,3857.4,3794.2,3920.7
,"82 years","82","Female","F","Hispanic or Latino","2135-2",14812,339276,4365.8,4295.5,4436.1
,"83 years","83","Female","F","Hispanic or Latino","2135-2",15077,311941,4833.3,4756.1,4910.4
,"84 years","84","Female","F","Hispanic or Latino","2135-2",15513,285858,5426.8,5341.4,5512.2
,"85 years","85","Female","F","Hispanic or Latino","2135-2",15793,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Female","F","Hispanic or Latino","2135-2",15643,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Female","F","Hispanic or Latino","2135-2",15792,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Female","F","Hispanic or Latino","2135-2",15494,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Female","F","Hispanic or Latino","2135-2",15246,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Female","F","Hispanic or Latino","2135-2",14947,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Female","F","Hispanic or Latino","2135-2",14349,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Female","F","Hispanic or Latino","2135-2",13416,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Female","F","Hispanic or Latino","2135-2",12152,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Female","F","Hispanic or Latino","2135-2",10486,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Female","F","Hispanic or Latino","2135-2",9189,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Female","F","Hispanic or Latino","2135-2",7802,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Female","F","Hispanic or Latino","2135-2",6146,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Female","F","Hispanic or Latino","2135-2",4912,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"99 years","99","Female","F","Hispanic or Latino","2135-2",3676,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100","Female","F","Hispanic or Latino","2135-2",7927,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","Female","F","Hispanic or Latino","2135-2",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"Title: US; 2018+; SYA; F; HIS; HIS; 2024; 5Y"
"Hispanic Origin: Hispanic or Latino"
"Sex: Female"
"Year/Month: 2020; 2021; 2022; 2023; 2024"
"Group By: Single-Year Ages; Sex; Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 13, 2026 12:12:47 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 13, 2026 12:12:47 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"4. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"5. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Racial Differences."
"6. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Confidence-Intervals."
"7. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 27, 2024. The 2024 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for year 2023 are single-race estimates of the July 1"
