"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",251,65601,382.6,335.3,430.0
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",20,65702,30.4,18.6,47.0
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",11,66866,16.5,8.2,29.4
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",16,68014,23.5,13.4,38.2
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,69273,Suppressed,Suppressed,Suppressed
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,70687,Suppressed,Suppressed,Suppressed
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,71274,Suppressed,Suppressed,Suppressed
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,71336,Suppressed,Suppressed,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,70752,Suppressed,Suppressed,Suppressed
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,70401,Suppressed,Suppressed,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,68353,Suppressed,Suppressed,Suppressed
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,66574,Suppressed,Suppressed,Suppressed
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,64916,Suppressed,Suppressed,Suppressed
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,63360,Suppressed,Suppressed,Suppressed
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",14,62056,22.6,12.3,37.9
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",15,60869,24.6,13.8,40.6
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",28,59491,47.1,31.3,68.0
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",32,58007,55.2,37.7,77.9
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",49,58397,83.9,62.1,110.9
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",43,57172,75.2,54.4,101.3
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",59,53637,110.0,83.7,141.9
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",61,54202,112.5,86.1,144.6
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",47,51489,91.3,67.1,121.4
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",49,51452,95.2,70.5,125.9
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",58,50095,115.8,87.9,149.7
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",64,49855,128.4,98.9,163.9
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",69,49482,139.4,108.5,176.5
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",62,49069,126.4,96.9,162.0
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",72,48790,147.6,115.5,185.8
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",87,48493,179.4,143.7,221.3
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",71,46944,151.2,118.1,190.8
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",86,44986,191.2,152.9,236.1
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",74,43501,170.1,133.6,213.6
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",66,41221,160.1,123.8,203.7
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",66,39331,167.8,129.8,213.5
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",86,37522,229.2,183.3,283.1
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",72,35785,201.2,157.4,253.4
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",84,34671,242.3,193.3,300.0
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",62,33681,184.1,141.1,236.0
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",68,32472,209.4,162.6,265.5
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",74,31716,233.3,183.2,292.9
