"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1355,479331,282.7,267.6,297.7
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Asian","A",98,497644,19.7,16.0,24.0
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Asian","A",65,515693,12.6,9.7,16.1
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Asian","A",60,535052,11.2,8.6,14.4
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Asian","A",56,552259,10.1,7.7,13.2
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Asian","A",50,565255,8.8,6.6,11.7
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Asian","A",36,573932,6.3,4.4,8.7
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Asian","A",43,579431,7.4,5.4,10.0
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Asian","A",44,574544,7.7,5.6,10.3
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Asian","A",38,568989,6.7,4.7,9.2
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Asian","A",45,559409,8.0,5.9,10.8
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Asian","A",36,551949,6.5,4.6,9.0
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Asian","A",44,548196,8.0,5.8,10.8
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Asian","A",44,547717,8.0,5.8,10.8
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Asian","A",56,550168,10.2,7.7,13.2
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Asian","A",74,556057,13.3,10.4,16.7
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Asian","A",99,563874,17.6,14.3,21.4
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Asian","A",112,572178,19.6,15.9,23.2
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Asian","A",122,586427,20.8,17.1,24.5
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","Asian","A",122,604225,20.2,16.6,23.8
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","Asian","A",127,617173,20.6,17.0,24.2
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","Asian","A",163,626861,26.0,22.0,30.0
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","Asian","A",169,639991,26.4,22.4,30.4
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","Asian","A",159,660855,24.1,20.3,27.8
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","Asian","A",172,679494,25.3,21.5,29.1
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","Asian","A",182,701490,25.9,22.2,29.7
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","Asian","A",171,732044,23.4,19.9,26.9
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","Asian","A",186,763390,24.4,20.9,27.9
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","Asian","A",217,795587,27.3,23.6,30.9
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","Asian","A",236,828645,28.5,24.8,32.1
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","Asian","A",248,859129,28.9,25.3,32.5
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","Asian","A",238,885549,26.9,23.5,30.3
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","Asian","A",252,903739,27.9,24.4,31.3
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2","Asian","A",322,912386,35.3,31.4,39.1
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2","Asian","A",297,913730,32.5,28.8,36.2
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2","Asian","A",315,911682,34.6,30.7,38.4
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2","Asian","A",381,903561,42.2,37.9,46.4
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2","Asian","A",354,901352,39.3,35.2,43.4
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2","Asian","A",389,900172,43.2,38.9,47.5
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2","Asian","A",423,891791,47.4,42.9,52.0
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2","Asian","A",505,882045,57.3,52.3,62.2
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2","Asian","A",475,861647,55.1,50.2,60.1
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2","Asian","A",524,840195,62.4,57.0,67.7
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2","Asian","A",501,819835,61.1,55.8,66.5
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2","Asian","A",616,805368,76.5,70.4,82.5
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2","Asian","A",659,796109,82.8,76.5,89.1
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2","Asian","A",693,785872,88.2,81.6,94.7
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2","Asian","A",741,782597,94.7,87.9,101.5
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2","Asian","A",762,778080,97.9,91.0,104.9
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2","Asian","A",905,772173,117.2,109.6,124.8
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2","Asian","A",951,765654,124.2,116.3,132.1
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1051,748817,140.4,131.9,148.8
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1146,728689,157.3,148.2,166.4
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2","Asian","A",1205,698861,172.4,162.7,182.2
