"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",13
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",11
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",18
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",16
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",18
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",20
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",19
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",29
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",24
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",25
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",38
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",32
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",55
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",47
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",48
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",42
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",57
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",56
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",54
,"65 years","65","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",50
,"66 years","66","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",58
,"67 years","67","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",59
,"68 years","68","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",64
,"69 years","69","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",67
,"70 years","70","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",63
,"71 years","71","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",67
,"72 years","72","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",50
,"73 years","73","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",64
,"74 years","74","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",50
,"75 years","75","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",76
,"76 years","76","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",66
,"77 years","77","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",56
,"78 years","78","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",63
,"79 years","79","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",56
,"80 years","80","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",60
,"81 years","81","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",68
,"82 years","82","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",76
,"83 years","83","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",66
,"84 years","84","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",58
,"85 years","85","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",70
,"86 years","86","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",54
,"87 years","87","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",58
,"88 years","88","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",54
,"89 years","89","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",46
,"90 years","90","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",45
,"91 years","91","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",52
,"92 years","92","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",45
,"93 years","93","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",43
,"94 years","94","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",41
,"95 years","95","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",32
,"96 years","96","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",31
,"97 years","97","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",25
,"98 years","98","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",19
,"99 years","99","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",21
,"100+ years","100","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",35
,"Not Stated","NS","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"Title: SD; 2018+; SYA; F; NON; BAA; 2024; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Female"
"Single Race 6: Black or African American"
"States: San Diego County, CA (06073)"
"Year/Month: 2020; 2021; 2022; 2023; 2024"
"Group By: Single-Year Ages; Sex; Hispanic Origin; Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 13, 2026 12:16:18 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 13, 2026 12:16:18 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Population and Rates are not available when values are selected for Single-Year Ages or Ten-Year Age Groups in section 3 or"
"they appear in Group Results By list in section 1, and county level locations, including urbanization categories and US-Mexico"
"Border areas, are selected in section 2, or when County, US-Mexico Border areas, or Urbanization appears in the Group Results By"
"list in section 1. Population, Rates and related measures have been removed from the results. More information#"
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"3. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"4. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Racial Differences."
"5. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 27, 2024. The 2024 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for year 2023 are single-race estimates of the July 1"
"resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2022 are"
"single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal series released by the Census Bureau"
"on June 22, 2023. The 2022 series is based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1,"
"2020 decennial population count. The Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates"
"for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The"
"population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"7. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
