"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",36
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",0
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",11
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",Suppressed
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",16
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",10
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",12
