"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",706,256288,275.5,255.2,295.8
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",75,253174,29.6,23.3,37.1
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",45,254363,17.7,12.9,23.7
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",31,257999,12.0,8.2,17.1
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",23,264892,8.7,5.5,13.0
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",25,269747,9.3,6.0,13.7
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",23,274551,8.4,5.3,12.6
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",17,277930,6.1,3.6,9.8
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",27,280642,9.6,6.3,14.0
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",26,282078,9.2,6.0,13.5
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",15,280141,5.4,3.0,8.8
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",26,281196,9.2,6.0,13.5
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",34,284974,11.9,8.3,16.7
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",43,291036,14.8,10.7,19.9
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",42,297057,14.1,10.2,19.1
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",70,303424,23.1,18.0,29.1
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",83,309455,26.8,21.4,33.2
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",86,314188,27.4,21.9,33.8
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",99,333652,29.7,24.1,36.1
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",111,313804,35.4,28.8,42.0
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",115,318422,36.1,29.5,42.7
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",117,323358,36.2,29.6,42.7
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",161,326538,49.3,41.7,56.9
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",154,338272,45.5,38.3,52.7
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",141,346738,40.7,34.0,47.4
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",203,358453,56.6,48.8,64.4
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",225,371186,60.6,52.7,68.5
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",247,382552,64.6,56.5,72.6
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","White","2106-3",251,396559,63.3,55.5,71.1
