"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",12638,1277059,989.6,972.4,1006.9
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",942,1288353,73.1,68.4,77.8
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",527,1304293,40.4,37.0,43.9
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",445,1316962,33.8,30.7,36.9
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",379,1333538,28.4,25.6,31.3
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",320,1351624,23.7,21.1,26.3
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",286,1365651,20.9,18.5,23.4
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",260,1371956,19.0,16.6,21.3
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",260,1378226,18.9,16.6,21.2
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",218,1383418,15.8,13.7,17.8
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",218,1383778,15.8,13.7,17.8
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",265,1393412,19.0,16.7,21.3
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",296,1419679,20.8,18.5,23.2
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",338,1447803,23.3,20.9,25.8
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",405,1467037,27.6,24.9,30.3
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",460,1473845,31.2,28.4,34.1
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",575,1468025,39.2,36.0,42.4
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",725,1451520,49.9,46.3,53.6
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",953,1442932,66.0,61.9,70.2
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1093,1452454,75.3,70.8,79.7
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1169,1487603,78.6,74.1,83.1
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1310,1512813,86.6,81.9,91.3
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1378,1520243,90.6,85.9,95.4
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1546,1519787,101.7,96.7,106.8
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1619,1515221,106.8,101.6,112.1
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1785,1522747,117.2,111.8,122.7
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1845,1555098,118.6,113.2,124.1
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1949,1595342,122.2,116.7,127.6
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",2166,1644960,131.7,126.1,137.2
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",2421,1699618,142.4,136.8,148.1
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",2629,1735282,151.5,145.7,157.3
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",2702,1735855,155.7,149.8,161.5
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",2917,1710294,170.6,164.4,176.7
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",3096,1667437,185.7,179.1,192.2
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",3211,1616229,198.7,191.8,205.5
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",3288,1564300,210.2,203.0,217.4
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",3344,1515434,220.7,213.2,228.1
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",3453,1491813,231.5,223.7,239.2
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",3705,1478576,250.6,242.5,258.6
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",3841,1467722,261.7,253.4,270.0
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",4256,1469754,289.6,280.9,298.3
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",4541,1456242,311.8,302.8,320.9
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2","Black or African American","2054-5",4706,1436014,327.7,318.3,337.1
