"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",69,21996,313.7,244.1,397.0
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",75,21655,346.3,272.4,434.1
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",71,21323,333.0,260.1,420.0
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",76,21314,356.6,280.9,446.3
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",90,21315,422.2,339.5,519.0
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",90,21303,422.5,339.7,519.3
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",102,20968,486.5,392.0,580.9
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",128,20605,621.2,513.6,728.8
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",117,19984,585.5,479.4,691.6
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",138,19207,718.5,598.6,838.4
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",132,18375,718.4,595.8,840.9
,"65 years","65","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",134,17461,767.4,637.5,897.4
,"66 years","66","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",144,16378,879.2,735.6,1022.8
,"67 years","67","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",113,15456,731.1,596.3,865.9
,"68 years","68","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",122,14555,838.2,689.5,986.9
,"69 years","69","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",135,13828,976.3,811.6,1141.0
,"70 years","70","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",131,13029,1005.4,833.3,1177.6
,"71 years","71","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",142,12329,1151.8,962.3,1341.2
,"72 years","72","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",166,11663,1423.3,1206.8,1639.8
,"73 years","73","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",153,11240,1361.2,1145.5,1576.9
,"74 years","74","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",144,10346,1391.8,1164.5,1619.2
,"75 years","75","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",140,9594,1459.2,1217.5,1701.0
,"76 years","76","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",158,8751,1805.5,1524.0,2087.0
,"77 years","77","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",169,7935,2129.8,1808.7,2450.9
,"78 years","78","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",138,6971,1979.6,1649.3,2309.9
,"79 years","79","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",128,6449,1984.8,1641.0,2328.7
,"80 years","80","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",149,5942,2507.6,2104.9,2910.2
,"81 years","81","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",139,5398,2575.0,2146.9,3003.1
,"82 years","82","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",163,4919,3313.7,2805.0,3822.4
,"83 years","83","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",145,4444,3262.8,2731.7,3793.9
,"84 years","84","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",161,3941,4085.3,3454.2,4716.3
,"85 years","85","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",130,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",154,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",125,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",141,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",148,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",135,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",139,Not Applicable,Not Applicable,Not Applicable,Not Applicable
