"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",585,110572,529.1,486.2,571.9
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",646,110247,586.0,540.8,631.1
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",683,110184,619.9,573.4,666.4
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",718,110452,650.1,602.5,697.6
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",749,110082,680.4,631.7,729.1
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",765,107902,709.0,658.7,759.2
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",844,105414,800.7,746.6,854.7
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",840,102463,819.8,764.4,875.2
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",882,98571,894.8,835.7,953.8
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",867,94566,916.8,855.8,977.8
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",891,90038,989.6,924.6,1054.6
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",853,85160,1001.6,934.4,1068.9
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",879,79808,1101.4,1028.6,1174.2
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",843,74845,1126.3,1050.3,1202.4
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",808,70105,1152.6,1073.1,1232.0
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",860,65815,1306.7,1219.4,1394.0
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",807,61986,1301.9,1212.1,1391.7
