"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","Asian","A",289,127283,227.1,200.9,253.2
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","Asian","A",26,131122,19.8,13.0,29.1
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","Asian","A",10,136076,7.3,3.5,13.5
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","Asian","A",19,143461,13.2,8.0,20.7
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","Asian","A",14,149250,9.4,5.1,15.7
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,155898,Suppressed,Suppressed,Suppressed
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,159050,Suppressed,Suppressed,Suppressed
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,161519,Suppressed,Suppressed,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","Asian","A",11,158756,6.9,3.5,12.4
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","Asian","A",16,156098,10.2,5.9,16.6
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","Asian","A",10,151940,6.6,3.2,12.1
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,148936,Suppressed,Suppressed,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","Asian","A",12,147844,8.1,4.2,14.2
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,148538,Suppressed,Suppressed,Suppressed
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,150055,Suppressed,Suppressed,Suppressed
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","Asian","A",13,152304,8.5,4.5,14.6
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","Asian","A",20,154301,13.0,7.9,20.0
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","Asian","A",25,155698,16.1,10.4,23.7
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","Asian","A",33,168843,19.5,13.5,27.4
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","Asian","A",37,163644,22.6,15.9,31.2
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","Asian","A",38,157213,24.2,17.1,33.2
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","Asian","A",43,157825,27.2,19.7,36.7
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","Asian","A",48,159994,30.0,22.1,39.8
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","Asian","A",29,168753,17.2,11.5,24.7
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","Asian","A",41,175658,23.3,16.7,31.7
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","Asian","A",44,184615,23.8,17.3,32.0
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","Asian","A",48,195791,24.5,18.1,32.5
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","Asian","A",51,208701,24.4,18.2,32.1
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","Asian","A",77,220455,34.9,27.6,43.7
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","Asian","A",70,235022,29.8,23.2,37.6
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","Asian","A",80,247043,32.4,25.7,40.3
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","Asian","A",67,257985,26.0,20.1,33.0
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","Asian","A",70,264189,26.5,20.7,33.5
