Year,Trustees Report,Exact age,Male Death Probability,Male Number of lives,Male Life Expectancy,Female Death Probability,Female Number of lives,Female Life Expectancy
2010,2014 Trustees Report,0,0.01,100000,76.1,0.01,100000,80.94
2010,2014 Trustees Report,1,0,99332,75.62,0,99444,80.39
2010,2014 Trustees Report,2,0,99289,74.65,0,99404,79.43
2010,2014 Trustees Report,3,0,99259,73.67,0,99383,78.44
2010,2014 Trustees Report,4,0,99235,72.69,0,99367,77.46
2010,2014 Trustees Report,5,0,99218,71.7,0,99354,76.47
2010,2014 Trustees Report,6,0,99203,70.71,0,99342,75.47
2010,2014 Trustees Report,7,0,99189,69.72,0,99332,74.48
2010,2014 Trustees Report,8,0,99176,68.73,0,99322,73.49
2010,2014 Trustees Report,9,0,99164,67.74,0,99313,72.5
2010,2014 Trustees Report,10,0,99155,66.74,0,99304,71.5
2010,2014 Trustees Report,11,0,99147,65.75,0,99295,70.51
2010,2014 Trustees Report,12,0,99138,64.76,0,99285,69.52
2010,2014 Trustees Report,13,0,99126,63.76,0,99274,68.52
2010,2014 Trustees Report,14,0,99106,62.78,0,99261,67.53
2010,2014 Trustees Report,15,0,99074,61.8,0,99244,66.54
2010,2014 Trustees Report,16,0,99030,60.82,0,99223,65.56
2010,2014 Trustees Report,17,0,98975,59.86,0,99199,64.57
2010,2014 Trustees Report,18,0,98906,58.9,0,99171,63.59
2010,2014 Trustees Report,19,0,98825,57.95,0,99139,62.61
2010,2014 Trustees Report,20,0,98731,57,0,99105,61.63
2010,2014 Trustees Report,21,0,98624,56.06,0,99066,60.66
2010,2014 Trustees Report,22,0,98505,55.13,0,99024,59.68
2010,2014 Trustees Report,23,0,98376,54.2,0,98979,58.71
2010,2014 Trustees Report,24,0,98244,53.27,0,98932,57.74
2010,2014 Trustees Report,25,0,98111,52.34,0,98883,56.77
2010,2014 Trustees Report,26,0,97980,51.41,0,98833,55.79
2010,2014 Trustees Report,27,0,97848,50.48,0,98780,54.82
2010,2014 Trustees Report,28,0,97717,49.55,0,98726,53.85
2010,2014 Trustees Report,29,0,97584,48.62,0,98668,52.88
2010,2014 Trustees Report,30,0,97450,47.68,0,98608,51.92
2010,2014 Trustees Report,31,0,97313,46.75,0,98545,50.95
2010,2014 Trustees Report,32,0,97173,45.82,0,98479,49.98
2010,2014 Trustees Report,33,0,97031,44.88,0,98408,49.02
2010,2014 Trustees Report,34,0,96885,43.95,0,98332,48.06
2010,2014 Trustees Report,35,0,96736,43.02,0,98252,47.1
2010,2014 Trustees Report,36,0,96582,42.08,0,98166,46.14
2010,2014 Trustees Report,37,0,96422,41.15,0,98073,45.18
2010,2014 Trustees Report,38,0,96254,40.22,0,97972,44.23
2010,2014 Trustees Report,39,0,96077,39.3,0,97865,43.27
2010,2014 Trustees Report,40,0,95889,38.37,0,97749,42.32
2010,2014 Trustees Report,41,0,95689,37.45,0,97624,41.38
2010,2014 Trustees Report,42,0,95475,36.53,0,97488,40.43
2010,2014 Trustees Report,43,0,95242,35.62,0,97340,39.5
2010,2014 Trustees Report,44,0,94986,34.72,0,97177,38.56
2010,2014 Trustees Report,45,0,94704,33.82,0,96997,37.63
2010,2014 Trustees Report,46,0,94392,32.93,0,96797,36.71
2010,2014 Trustees Report,47,0,94048,32.05,0,96578,35.79
2010,2014 Trustees Report,48,0,93672,31.17,0,96339,34.88
2010,2014 Trustees Report,49,0,93263,30.31,0,96078,33.97
2010,2014 Trustees Report,50,0.01,92820,29.45,0,95795,33.07
2010,2014 Trustees Report,51,0.01,92342,28.6,0,95487,32.18
2010,2014 Trustees Report,52,0.01,91825,27.76,0,95155,31.29
2010,2014 Trustees Report,53,0.01,91267,26.93,0,94798,30.4
2010,2014 Trustees Report,54,0.01,90664,26.1,0,94418,29.52
2010,2014 Trustees Report,55,0.01,90013,25.29,0,94017,28.65
2010,2014 Trustees Report,56,0.01,89311,24.48,0,93593,27.77
2010,2014 Trustees Report,57,0.01,88555,23.69,0.01,93140,26.91
2010,2014 Trustees Report,58,0.01,87750,22.9,0.01,92657,26.04
2010,2014 Trustees Report,59,0.01,86901,22.12,0.01,92141,25.19
2010,2014 Trustees Report,60,0.01,86010,21.34,0.01,91588,24.34
2010,2014 Trustees Report,61,0.01,85076,20.57,0.01,90994,23.49
2010,2014 Trustees Report,62,0.01,84090,19.81,0.01,90352,22.65
2010,2014 Trustees Report,63,0.01,83043,19.05,0.01,89658,21.83
2010,2014 Trustees Report,64,0.01,81926,18.3,0.01,88903,21.01
2010,2014 Trustees Report,65,0.02,80729,17.57,0.01,88081,20.2
2010,2014 Trustees Report,66,0.02,79444,16.84,0.01,87182,19.4
2010,2014 Trustees Report,67,0.02,78064,16.13,0.01,86201,18.62
2010,2014 Trustees Report,68,0.02,76589,15.43,0.01,85135,17.84
2010,2014 Trustees Report,69,0.02,75020,14.75,0.01,83982,17.08
2010,2014 Trustees Report,70,0.02,73355,14.07,0.02,82740,16.33
2010,2014 Trustees Report,71,0.03,71584,13.4,0.02,81397,15.59
2010,2014 Trustees Report,72,0.03,69697,12.75,0.02,79941,14.87
2010,2014 Trustees Report,73,0.03,67689,12.12,0.02,78367,14.16
2010,2014 Trustees Report,74,0.03,65558,11.49,0.02,76669,13.46
2010,2014 Trustees Report,75,0.04,63300,10.89,0.03,74839,12.77
2010,2014 Trustees Report,76,0.04,60904,10.3,0.03,72860,12.11
2010,2014 Trustees Report,77,0.05,58363,9.72,0.03,70721,11.46
2010,2014 Trustees Report,78,0.05,55682,9.17,0.04,68421,10.83
2010,2014 Trustees Report,79,0.06,52872,8.63,0.04,65967,10.21
2010,2014 Trustees Report,80,0.06,49939,8.1,0.04,63357,9.61
2010,2014 Trustees Report,81,0.07,46884,7.6,0.05,60580,9.03
2010,2014 Trustees Report,82,0.07,43710,7.11,0.05,57624,8.47
2010,2014 Trustees Report,83,0.08,40435,6.65,0.06,54487,7.93
2010,2014 Trustees Report,84,0.09,37084,6.21,0.07,51176,7.41
2010,2014 Trustees Report,85,0.1,33682,5.78,0.08,47702,6.91
2010,2014 Trustees Report,86,0.11,30261,5.38,0.08,44080,6.44
2010,2014 Trustees Report,87,0.12,26854,5,0.1,40335,5.99
2010,2014 Trustees Report,88,0.14,23503,4.64,0.11,36499,5.56
2010,2014 Trustees Report,89,0.15,20253,4.3,0.12,32617,5.17
2010,2014 Trustees Report,90,0.17,17152,3.99,0.13,28743,4.8
