Year,Trustees Report,Exact age,Male Death Probability,Male Number of lives,Male Life Expectancy,Female Death Probability,Female Number of lives,Female Life Expectancy
2010,2014 Trustees Report,91,0.19,14250,3.7,0.15,24938,4.45
2010,2014 Trustees Report,92,0.21,11592,3.44,0.16,21268,4.13
2010,2014 Trustees Report,93,0.22,9214,3.2,0.18,17798,3.84
2010,2014 Trustees Report,94,0.25,7142,2.98,0.2,14588,3.58
2010,2014 Trustees Report,95,0.27,5387,2.79,0.22,11691,3.34
2010,2014 Trustees Report,96,0.29,3952,2.62,0.24,9153,3.13
2010,2014 Trustees Report,97,0.31,2819,2.47,0.25,6997,2.94
2010,2014 Trustees Report,98,0.32,1957,2.34,0.27,5222,2.76
2010,2014 Trustees Report,99,0.34,1323,2.22,0.29,3807,2.6
2010,2014 Trustees Report,100,0.36,873,2.1,0.3,2714,2.45
2010,2014 Trustees Report,101,0.37,562,1.99,0.32,1888,2.31
2010,2014 Trustees Report,102,0.39,351,1.88,0.34,1279,2.17
2010,2014 Trustees Report,103,0.41,213,1.78,0.36,841,2.03
2010,2014 Trustees Report,104,0.43,125,1.68,0.38,536,1.91
2010,2014 Trustees Report,105,0.46,71,1.59,0.41,330,1.79
2010,2014 Trustees Report,106,0.48,39,1.5,0.43,196,1.67
2010,2014 Trustees Report,107,0.5,20,1.41,0.46,111,1.56
2010,2014 Trustees Report,108,0.53,10,1.32,0.49,60,1.45
2010,2014 Trustees Report,109,0.55,5,1.24,0.51,31,1.35
2010,2014 Trustees Report,110,0.58,2,1.17,0.55,15,1.26
2010,2014 Trustees Report,111,0.61,1,1.09,0.58,7,1.17
2010,2014 Trustees Report,112,0.64,0,1.02,0.61,3,1.08
2010,2014 Trustees Report,113,0.67,0,0.95,0.65,1,1
2010,2014 Trustees Report,114,0.71,0,0.89,0.69,0,0.92
2010,2014 Trustees Report,115,0.74,0,0.83,0.73,0,0.84
2010,2014 Trustees Report,116,0.78,0,0.77,0.77,0,0.77
2010,2014 Trustees Report,117,0.82,0,0.71,0.82,0,0.71
2010,2014 Trustees Report,118,0.86,0,0.66,0.86,0,0.66
2010,2014 Trustees Report,119,0.9,0,0.6,0.9,0,0.6
2011,2015 Trustees Report,0,0.01,100000,76.18,0.01,100000,80.95
2011,2015 Trustees Report,1,0,99343,75.69,0,99449,80.39
2011,2015 Trustees Report,2,0,99299,74.72,0,99411,79.42
2011,2015 Trustees Report,3,0,99270,73.74,0,99389,78.44
2011,2015 Trustees Report,4,0,99248,72.76,0,99373,77.45
2011,2015 Trustees Report,5,0,99230,71.77,0,99358,76.47
2011,2015 Trustees Report,6,0,99215,70.78,0,99346,75.48
2011,2015 Trustees Report,7,0,99200,69.79,0,99334,74.48
2011,2015 Trustees Report,8,0,99187,68.8,0,99324,73.49
2011,2015 Trustees Report,9,0,99175,67.81,0,99314,72.5
2011,2015 Trustees Report,10,0,99164,66.82,0,99305,71.51
2011,2015 Trustees Report,11,0,99155,65.82,0,99296,70.51
2011,2015 Trustees Report,12,0,99146,64.83,0,99288,69.52
2011,2015 Trustees Report,13,0,99132,63.84,0,99277,68.52
2011,2015 Trustees Report,14,0,99112,62.85,0,99265,67.53
2011,2015 Trustees Report,15,0,99080,61.87,0,99248,66.54
2011,2015 Trustees Report,16,0,99037,60.9,0,99228,65.56
2011,2015 Trustees Report,17,0,98983,59.93,0,99204,64.57
2011,2015 Trustees Report,18,0,98917,58.97,0,99175,63.59
2011,2015 Trustees Report,19,0,98837,58.02,0,99144,62.61
2011,2015 Trustees Report,20,0,98744,57.07,0,99109,61.63
2011,2015 Trustees Report,21,0,98637,56.13,0,99071,60.66
2011,2015 Trustees Report,22,0,98517,55.2,0,99030,59.68
2011,2015 Trustees Report,23,0,98387,54.27,0,98986,58.71
2011,2015 Trustees Report,24,0,98254,53.35,0,98939,57.74
2011,2015 Trustees Report,25,0,98120,52.42,0,98891,56.76
2011,2015 Trustees Report,26,0,97987,51.49,0,98841,55.79
2011,2015 Trustees Report,27,0,97855,50.56,0,98789,54.82
2011,2015 Trustees Report,28,0,97722,49.63,0,98735,53.85
2011,2015 Trustees Report,29,0,97588,48.69,0,98677,52.88
2011,2015 Trustees Report,30,0,97452,47.76,0,98615,51.92
2011,2015 Trustees Report,31,0,97312,46.83,0,98549,50.95
2011,2015 Trustees Report,32,0,97170,45.9,0,98478,49.99
2011,2015 Trustees Report,33,0,97024,44.96,0,98403,49.02
2011,2015 Trustees Report,34,0,96876,44.03,0,98323,48.06
2011,2015 Trustees Report,35,0,96724,43.1,0,98240,47.1
2011,2015 Trustees Report,36,0,96568,42.17,0,98153,46.15
2011,2015 Trustees Report,37,0,96405,41.24,0,98060,45.19
2011,2015 Trustees Report,38,0,96236,40.31,0,97960,44.23
2011,2015 Trustees Report,39,0,96057,39.39,0,97853,43.28
2011,2015 Trustees Report,40,0,95869,38.46,0,97737,42.33
2011,2015 Trustees Report,41,0,95668,37.54,0,97610,41.39
2011,2015 Trustees Report,42,0,95453,36.62,0,97472,40.45
2011,2015 Trustees Report,43,0,95221,35.71,0,97321,39.51
2011,2015 Trustees Report,44,0,94967,34.81,0,97155,38.57
2011,2015 Trustees Report,45,0,94687,33.91,0,96972,37.65
2011,2015 Trustees Report,46,0,94380,33.02,0,96772,36.72
2011,2015 Trustees Report,47,0,94043,32.13,0,96552,35.81
2011,2015 Trustees Report,48,0,93674,31.26,0,96312,34.89
2011,2015 Trustees Report,49,0,93270,30.39,0,96050,33.99
2011,2015 Trustees Report,50,0.01,92830,29.53,0,95766,33.09
2011,2015 Trustees Report,51,0.01,92352,28.68,0,95457,32.19
2011,2015 Trustees Report,52,0.01,91832,27.84,0,95123,31.3
2011,2015 Trustees Report,53,0.01,91270,27.01,0,94763,30.42
2011,2015 Trustees Report,54,0.01,90663,26.19,0,94380,29.54
2011,2015 Trustees Report,55,0.01,90008,25.38,0,93974,28.67
2011,2015 Trustees Report,56,0.01,89302,24.57,0,93543,27.8
2011,2015 Trustees Report,57,0.01,88544,23.78,0.01,93083,26.93
2011,2015 Trustees Report,58,0.01,87736,22.99,0.01,92592,26.07
2011,2015 Trustees Report,59,0.01,86886,22.21,0.01,92071,25.22
2011,2015 Trustees Report,60,0.01,85995,21.44,0.01,91516,24.37
2011,2015 Trustees Report,61,0.01,85060,20.67,0.01,90923,23.52
2011,2015 Trustees Report,62,0.01,84075,19.9,0.01,90287,22.68
2011,2015 Trustees Report,63,0.01,83032,19.15,0.01,89600,21.85
2011,2015 Trustees Report,64,0.01,81925,18.4,0.01,88857,21.03
2011,2015 Trustees Report,65,0.02,80748,17.66,0.01,88050,20.22
2011,2015 Trustees Report,66,0.02,79492,16.93,0.01,87171,19.42
2011,2015 Trustees Report,67,0.02,78151,16.21,0.01,86211,18.63
2011,2015 Trustees Report,68,0.02,76717,15.51,0.01,85168,17.85
2011,2015 Trustees Report,69,0.02,75185,14.81,0.01,84039,17.09
2011,2015 Trustees Report,70,0.02,73548,14.13,0.02,82818,16.33
2011,2015 Trustees Report,71,0.03,71795,13.47,0.02,81494,15.59
2011,2015 Trustees Report,72,0.03,69917,12.81,0.02,80054,14.86
2011,2015 Trustees Report,73,0.03,67915,12.18,0.02,78494,14.14
2011,2015 Trustees Report,74,0.03,65796,11.55,0.02,76809,13.44
2011,2015 Trustees Report,75,0.04,63559,10.94,0.03,74992,12.76
2011,2015 Trustees Report,76,0.04,61195,10.34,0.03,73026,12.09
2011,2015 Trustees Report,77,0.05,58692,9.76,0.03,70896,11.44
2011,2015 Trustees Report,78,0.05,56048,9.2,0.04,68604,10.8
2011,2015 Trustees Report,79,0.05,53265,8.66,0.04,66153,10.18
2011,2015 Trustees Report,80,0.06,50344,8.13,0.04,63542,9.58
2011,2015 Trustees Report,81,0.07,47283,7.62,0.05,60757,9
2011,2015 Trustees Report,82,0.07,44091,7.14,0.05,57786,8.43
2011,2015 Trustees Report,83,0.08,40794,6.68,0.06,54633,7.89
2011,2015 Trustees Report,84,0.09,37424,6.23,0.07,51305,7.37
2011,2015 Trustees Report,85,0.1,34014,5.81,0.08,47815,6.87
2011,2015 Trustees Report,86,0.11,30589,5.4,0.09,44179,6.4
2011,2015 Trustees Report,87,0.12,27180,5.02,0.1,40417,5.94
2011,2015 Trustees Report,88,0.14,23822,4.65,0.11,36561,5.52
2011,2015 Trustees Report,89,0.15,20555,4.31,0.12,32655,5.12
2011,2015 Trustees Report,90,0.17,17429,4,0.13,28751,4.75
2011,2015 Trustees Report,91,0.19,14493,3.7,0.15,24912,4.4
2011,2015 Trustees Report,92,0.2,11797,3.44,0.17,21208,4.08
2011,2015 Trustees Report,93,0.22,9379,3.19,0.18,17707,3.79
2011,2015 Trustees Report,94,0.25,7270,2.97,0.2,14472,3.53
2011,2015 Trustees Report,95,0.27,5481,2.78,0.22,11557,3.29
2011,2015 Trustees Report,96,0.29,4018,2.61,0.24,9010,3.08
2011,2015 Trustees Report,97,0.31,2864,2.46,0.26,6854,2.89
2011,2015 Trustees Report,98,0.32,1986,2.33,0.28,5088,2.72
2011,2015 Trustees Report,99,0.34,1341,2.21,0.29,3687,2.56
2011,2015 Trustees Report,100,0.36,884,2.09,0.31,2610,2.41
2011,2015 Trustees Report,101,0.38,568,1.98,0.33,1803,2.27
2011,2015 Trustees Report,102,0.39,354,1.88,0.35,1211,2.13
2011,2015 Trustees Report,103,0.41,215,1.77,0.37,790,2
2011,2015 Trustees Report,104,0.43,126,1.68,0.39,499,1.87
2011,2015 Trustees Report,105,0.46,71,1.58,0.41,304,1.75
2011,2015 Trustees Report,106,0.48,39,1.49,0.44,178,1.64
2011,2015 Trustees Report,107,0.5,20,1.4,0.47,100,1.53
2011,2015 Trustees Report,108,0.53,10,1.32,0.49,53,1.43
2011,2015 Trustees Report,109,0.56,5,1.24,0.52,27,1.33
2011,2015 Trustees Report,110,0.58,2,1.16,0.55,13,1.23
2011,2015 Trustees Report,111,0.61,1,1.09,0.59,6,1.14
2011,2015 Trustees Report,112,0.64,0,1.02,0.62,2,1.06
2011,2015 Trustees Report,113,0.67,0,0.95,0.66,1,0.98
2011,2015 Trustees Report,114,0.71,0,0.89,0.7,0,0.9
2011,2015 Trustees Report,115,0.74,0,0.82,0.74,0,0.83
2011,2015 Trustees Report,116,0.78,0,0.76,0.78,0,0.76
2011,2015 Trustees Report,117,0.82,0,0.71,0.82,0,0.71
2011,2015 Trustees Report,118,0.86,0,0.65,0.86,0,0.65
2011,2015 Trustees Report,119,0.9,0,0.6,0.9,0,0.6
2013,2016 Trustees Report,0,0.01,100000,76.28,0.01,100000,81.05
2013,2016 Trustees Report,1,0,99348,75.78,0,99462,80.49
2013,2016 Trustees Report,2,0,99302,74.82,0,99425,79.52
2013,2016 Trustees Report,3,0,99273,73.84,0,99403,78.54
2013,2016 Trustees Report,4,0,99252,72.85,0,99387,77.55
2013,2016 Trustees Report,5,0,99235,71.87,0,99373,76.56
2013,2016 Trustees Report,6,0,99219,70.88,0,99361,75.57
2013,2016 Trustees Report,7,0,99205,69.89,0,99351,74.58
2013,2016 Trustees Report,8,0,99192,68.9,0,99341,73.58
2013,2016 Trustees Report,9,0,99180,67.9,0,99331,72.59
2013,2016 Trustees Report,10,0,99170,66.91,0,99322,71.6
2013,2016 Trustees Report,11,0,99161,65.92,0,99312,70.6
2013,2016 Trustees Report,12,0,99151,64.92,0,99303,69.61
2013,2016 Trustees Report,13,0,99138,63.93,0,99291,68.62
2013,2016 Trustees Report,14,0,99119,62.94,0,99278,67.63
2013,2016 Trustees Report,15,0,99091,61.96,0,99262,66.64
2013,2016 Trustees Report,16,0,99052,60.99,0,99243,65.65
2013,2016 Trustees Report,17,0,99003,60.02,0,99220,64.67
2013,2016 Trustees Report,18,0,98943,59.05,0,99194,63.68
2013,2016 Trustees Report,19,0,98870,58.09,0,99165,62.7
2013,2016 Trustees Report,20,0,98785,57.14,0,99132,61.72
2013,2016 Trustees Report,21,0,98685,56.2,0,99095,60.75
2013,2016 Trustees Report,22,0,98572,55.27,0,99054,59.77
2013,2016 Trustees Report,23,0,98449,54.33,0,99010,58.8
2013,2016 Trustees Report,24,0,98321,53.4,0,98963,57.82
2013,2016 Trustees Report,25,0,98191,52.47,0,98915,56.85
2013,2016 Trustees Report,26,0,98060,51.54,0,98864,55.88
2013,2016 Trustees Report,27,0,97928,50.61,0,98811,54.91
2013,2016 Trustees Report,28,0,97795,49.68,0,98755,53.94
2013,2016 Trustees Report,29,0,97659,48.75,0,98697,52.97
2013,2016 Trustees Report,30,0,97519,47.82,0,98635,52.01
2013,2016 Trustees Report,31,0,97376,46.89,0,98569,51.04
2013,2016 Trustees Report,32,0,97230,45.96,0,98500,50.08
2013,2016 Trustees Report,33,0,97080,45.03,0,98426,49.11
2013,2016 Trustees Report,34,0,96927,44.1,0,98348,48.15
2013,2016 Trustees Report,35,0,96772,43.17,0,98265,47.19
2013,2016 Trustees Report,36,0,96612,42.24,0,98176,46.23
2013,2016 Trustees Report,37,0,96448,41.31,0,98081,45.28
2013,2016 Trustees Report,38,0,96277,40.38,0,97979,44.33
2013,2016 Trustees Report,39,0,96097,39.46,0,97870,43.37
2013,2016 Trustees Report,40,0,95908,38.53,0,97753,42.43
2013,2016 Trustees Report,41,0,95708,37.61,0,97627,41.48
2013,2016 Trustees Report,42,0,95493,36.7,0,97491,40.54
2013,2016 Trustees Report,43,0,95262,35.78,0,97343,39.6
2013,2016 Trustees Report,44,0,95012,34.88,0,97182,38.66
2013,2016 Trustees Report,45,0,94739,33.98,0,97004,37.73
2013,2016 Trustees Report,46,0,94441,33.08,0,96810,36.81
2013,2016 Trustees Report,47,0,94115,32.19,0,96597,35.89
2013,2016 Trustees Report,48,0,93759,31.32,0,96364,34.97
2013,2016 Trustees Report,49,0,93368,30.44,0,96109,34.06
2013,2016 Trustees Report,50,0.01,92940,29.58,0,95829,33.16
2013,2016 Trustees Report,51,0.01,92472,28.73,0,95524,32.27
2013,2016 Trustees Report,52,0.01,91961,27.89,0,95193,31.38
2013,2016 Trustees Report,53,0.01,91406,27.05,0,94834,30.49
2013,2016 Trustees Report,54,0.01,90804,26.23,0,94449,29.62
2013,2016 Trustees Report,55,0.01,90153,25.41,0,94038,28.74
2013,2016 Trustees Report,56,0.01,89450,24.61,0.01,93598,27.88
2013,2016 Trustees Report,57,0.01,88693,23.82,0.01,93126,27.01
2013,2016 Trustees Report,58,0.01,87883,23.03,0.01,92623,26.16
2013,2016 Trustees Report,59,0.01,87022,22.25,0.01,92090,25.31
2013,2016 Trustees Report,60,0.01,86112,21.48,0.01,91526,24.46
2013,2016 Trustees Report,61,0.01,85147,20.72,0.01,90927,23.62
2013,2016 Trustees Report,62,0.01,84125,19.97,0.01,90287,22.78
2013,2016 Trustees Report,63,0.01,83042,19.22,0.01,89600,21.95
2013,2016 Trustees Report,64,0.01,81899,18.48,0.01,88858,21.13
2013,2016 Trustees Report,65,0.02,80691,17.75,0.01,88054,20.32
2013,2016 Trustees Report,66,0.02,79412,17.03,0.01,87177,19.52
2013,2016 Trustees Report,67,0.02,78054,16.32,0.01,86223,18.73
2013,2016 Trustees Report,68,0.02,76613,15.61,0.01,85187,17.95
2013,2016 Trustees Report,69,0.02,75084,14.92,0.01,84069,17.18
2013,2016 Trustees Report,70,0.02,73461,14.24,0.02,82864,16.43
2013,2016 Trustees Report,71,0.03,71732,13.57,0.02,81561,15.68
2013,2016 Trustees Report,72,0.03,69889,12.92,0.02,80147,14.95
2013,2016 Trustees Report,73,0.03,67930,12.27,0.02,78616,14.23
2013,2016 Trustees Report,74,0.03,65853,11.65,0.02,76961,13.53
2013,2016 Trustees Report,75,0.04,63657,11.03,0.03,75177,12.83
2013,2016 Trustees Report,76,0.04,61329,10.43,0.03,73244,12.16
2013,2016 Trustees Report,77,0.04,58859,9.85,0.03,71148,11.5
2013,2016 Trustees Report,78,0.05,56249,9.28,0.04,68888,10.86
2013,2016 Trustees Report,79,0.05,53504,8.73,0.04,66467,10.24
2013,2016 Trustees Report,80,0.06,50629,8.2,0.04,63880,9.64
2013,2016 Trustees Report,81,0.07,47621,7.68,0.05,61114,9.05
2013,2016 Trustees Report,82,0.07,44484,7.19,0.05,58159,8.48
2013,2016 Trustees Report,83,0.08,41233,6.72,0.06,55016,7.94
2013,2016 Trustees Report,84,0.09,37890,6.27,0.07,51694,7.42
2013,2016 Trustees Report,85,0.1,34482,5.84,0.08,48205,6.92
2013,2016 Trustees Report,86,0.11,31040,5.43,0.08,44565,6.44
2013,2016 Trustees Report,87,0.12,27598,5.04,0.09,40796,5.99
2013,2016 Trustees Report,88,0.14,24201,4.68,0.11,36933,5.57
2013,2016 Trustees Report,89,0.15,20896,4.34,0.12,33017,5.17
2013,2016 Trustees Report,90,0.17,17735,4.03,0.13,29104,4.8
2013,2016 Trustees Report,91,0.18,14768,3.74,0.15,25257,4.45
2013,2016 Trustees Report,92,0.2,12043,3.47,0.16,21542,4.13
2013,2016 Trustees Report,93,0.22,9599,3.23,0.18,18027,3.84
2013,2016 Trustees Report,94,0.24,7463,3.01,0.2,14775,3.57
2013,2016 Trustees Report,95,0.26,5647,2.82,0.22,11839,3.34
2013,2016 Trustees Report,96,0.28,4157,2.64,0.24,9267,3.12
2013,2016 Trustees Report,97,0.3,2977,2.49,0.25,7083,2.93
2013,2016 Trustees Report,98,0.32,2075,2.36,0.27,5285,2.76
2013,2016 Trustees Report,99,0.34,1410,2.24,0.29,3852,2.6
2013,2016 Trustees Report,100,0.35,935,2.12,0.3,2745,2.45
2013,2016 Trustees Report,101,0.37,605,2.01,0.32,1909,2.3
2013,2016 Trustees Report,102,0.39,380,1.9,0.34,1292,2.17
2013,2016 Trustees Report,103,0.41,232,1.8,0.36,850,2.03
2013,2016 Trustees Report,104,0.43,137,1.7,0.38,541,1.91
2013,2016 Trustees Report,105,0.45,78,1.6,0.41,333,1.78
2013,2016 Trustees Report,106,0.47,43,1.51,0.43,197,1.67
2013,2016 Trustees Report,107,0.5,23,1.42,0.46,112,1.56
2013,2016 Trustees Report,108,0.52,11,1.34,0.49,61,1.45
2013,2016 Trustees Report,109,0.55,5,1.26,0.51,31,1.35
2013,2016 Trustees Report,110,0.58,2,1.18,0.55,15,1.26
2013,2016 Trustees Report,111,0.6,1,1.11,0.58,7,1.17
2013,2016 Trustees Report,112,0.63,0,1.04,0.61,3,1.08
2013,2016 Trustees Report,113,0.67,0,0.97,0.65,1,1
2013,2016 Trustees Report,114,0.7,0,0.9,0.69,0,0.92
2013,2016 Trustees Report,115,0.73,0,0.84,0.73,0,0.85
2013,2016 Trustees Report,116,0.77,0,0.78,0.77,0,0.78
2013,2016 Trustees Report,117,0.81,0,0.72,0.81,0,0.72
2013,2016 Trustees Report,118,0.85,0,0.67,0.85,0,0.67
2013,2016 Trustees Report,119,0.89,0,0.61,0.89,0,0.61
2014,2017 Trustees Report,0,0.01,100000,76.33,0.01,100000,81.11
2014,2017 Trustees Report,1,0,99368,75.81,0,99469,80.54
2014,2017 Trustees Report,2,0,99328,74.84,0,99434,79.57
2014,2017 Trustees Report,3,0,99300,73.86,0,99412,78.59
2014,2017 Trustees Report,4,0,99279,72.88,0,99396,77.6
2014,2017 Trustees Report,5,0,99261,71.89,0,99383,76.61
2014,2017 Trustees Report,6,0,99245,70.9,0,99372,75.62
2014,2017 Trustees Report,7,0,99231,69.91,0,99361,74.63
2014,2017 Trustees Report,8,0,99218,68.92,0,99351,73.64
2014,2017 Trustees Report,9,0,99206,67.93,0,99342,72.64
2014,2017 Trustees Report,10,0,99197,66.94,0,99334,71.65
2014,2017 Trustees Report,11,0,99187,65.94,0,99325,70.66
2014,2017 Trustees Report,12,0,99177,64.95,0,99317,69.66
2014,2017 Trustees Report,13,0,99164,63.96,0,99307,68.67
2014,2017 Trustees Report,14,0,99144,62.97,0,99294,67.68
2014,2017 Trustees Report,15,0,99114,61.99,0,99279,66.69
2014,2017 Trustees Report,16,0,99074,61.02,0,99260,65.7
2014,2017 Trustees Report,17,0,99024,60.05,0,99237,64.72
2014,2017 Trustees Report,18,0,98963,59.08,0,99210,63.73
2014,2017 Trustees Report,19,0,98889,58.13,0,99180,62.75
2014,2017 Trustees Report,20,0,98802,57.18,0,99146,61.77
2014,2017 Trustees Report,21,0,98701,56.24,0,99109,60.8
2014,2017 Trustees Report,22,0,98588,55.3,0,99069,59.82
2014,2017 Trustees Report,23,0,98464,54.37,0,99025,58.85
2014,2017 Trustees Report,24,0,98335,53.44,0,98978,57.87
2014,2017 Trustees Report,25,0,98204,52.51,0,98929,56.9
2014,2017 Trustees Report,26,0,98072,51.58,0,98877,55.93
2014,2017 Trustees Report,27,0,97937,50.65,0,98822,54.96
2014,2017 Trustees Report,28,0,97801,49.72,0,98765,53.99
2014,2017 Trustees Report,29,0,97662,48.79,0,98705,53.03
2014,2017 Trustees Report,30,0,97520,47.86,0,98641,52.06
2014,2017 Trustees Report,31,0,97373,46.93,0,98575,51.1
2014,2017 Trustees Report,32,0,97224,46,0,98505,50.13
2014,2017 Trustees Report,33,0,97071,45.07,0,98431,49.17
2014,2017 Trustees Report,34,0,96914,44.15,0,98351,48.21
2014,2017 Trustees Report,35,0,96753,43.22,0,98266,47.25
2014,2017 Trustees Report,36,0,96587,42.29,0,98175,46.29
2014,2017 Trustees Report,37,0,96415,41.37,0,98076,45.34
2014,2017 Trustees Report,38,0,96236,40.44,0,97970,44.39
